,ft,bt,km,transmission,ownerNo,model,modelYear,price,Mileage,Engine,Seats,city
4985,Petrol,Sedan,120000.0,Manual,1,Hyundai Verna,2012.0,399000.0,17.01,1591.0,5.0,Hyderabad
4986,Petrol,Hatchback,119106.0,Manual,2,Maruti Swift,2015.0,471000.0,22.38,1197.0,5.0,Hyderabad
4987,Petrol,Sedan,60000.0,Manual,2,Honda City,2011.0,340000.0,17.0,1497.0,5.0,Hyderabad
4988,Diesel,Hatchback,60000.0,Manual,1,Maruti Swift,2017.0,659000.0,27.984999999999992,1248.0,5.0,Hyderabad
4989,Petrol,Hatchback,80000.0,Manual,1,Maruti Alto 800,2019.0,370000.0,22.05,796.0,5.0,Hyderabad
4990,Diesel,Hatchback,143000.0,Manual,2,Maruti Swift,2012.0,400000.0,22.9,1248.0,5.0,Hyderabad
4991,Diesel,Hatchback,50000.0,Manual,1,Maruti Swift,2018.0,700000.0,25.2,1248.0,5.0,Hyderabad
4992,Diesel,Sedan,105000.0,Automatic,1,Volkswagen Passat,2011.0,750000.0,14.3,1949.5,5.0,Hyderabad
4993,Diesel,MUV,110000.0,Automatic,1,Toyota Innova Crysta,2016.0,1776500.0,11.36,1949.5,7.0,Hyderabad
4994,Petrol,Sedan,80000.0,Manual,1,Honda City,2011.0,360000.0,17.0,1497.0,5.0,Hyderabad
4995,Petrol,Hatchback,121617.0,Manual,2,Maruti Swift,2013.0,368000.0,22.38,1197.0,5.0,Hyderabad
4996,Petrol,Sedan,83825.0,Manual,2,Volkswagen Vento,2015.0,556000.0,15.04,1598.0,5.0,Hyderabad
4997,Petrol,Hatchback,92299.0,Manual,1,Maruti Swift,2014.0,426000.0,18.6,1197.0,5.0,Hyderabad
4998,Diesel,SUV,50643.0,Automatic,2,Maruti Vitara Brezza,2018.0,961000.0,24.3,1248.0,5.0,Hyderabad
4999,Diesel,SUV,110243.0,Manual,2,Mahindra TUV 300,2018.0,793000.0,18.49,1493.0,7.0,Hyderabad
5000,Diesel,Sedan,92721.0,Automatic,1,Mercedes-Benz C-Class,2012.0,990000.0,14.84,1949.5,5.0,Hyderabad
5001,Petrol,SUV,93104.0,Automatic,1,Hyundai Creta,2016.0,951000.0,13.0,1591.0,5.0,Hyderabad
